"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 14:27:59 EDT 2024","Mon Jun 03 14:28:04 EDT 2024","5312","Suite1","Chrome","org.selenium.pom.tests.AddToCartTest","org.selenium.pom.tests.AddToCartTest","addToCardFeaturedProducts","addToCardFeaturedProducts",""
"passed","Mon Jun 03 14:28:05 EDT 2024","Mon Jun 03 14:28:22 EDT 2024","16651","Suite1","Chrome","org.selenium.pom.tests.AddToCartTest","org.selenium.pom.tests.AddToCartTest","addToCardFeaturedProducts","addToCardFeaturedProducts",""
"passed","Mon Jun 03 14:28:04 EDT 2024","Mon Jun 03 14:28:21 EDT 2024","16904","Suite1","Chrome","org.selenium.pom.tests.SearchTest","org.selenium.pom.tests.SearchTest","searchWithPartialMatch","searchWithPartialMatch",""
"passed","Mon Jun 03 14:27:58 EDT 2024","Mon Jun 03 14:28:00 EDT 2024","2007","Suite1","Chrome","org.selenium.pom.tests.NavigationTest","org.selenium.pom.tests.NavigationTest","natigateFromHomeToStoreUsingMainMenu","natigateFromHomeToStoreUsingMainMenu",""
"passed","Mon Jun 03 14:27:58 EDT 2024","Mon Jun 03 14:28:22 EDT 2024","23259","Suite1","Chrome","org.selenium.pom.tests.LoginTest","org.selenium.pom.tests.LoginTest","loginDuringCheckout","loginDuringCheckout",""
"passed","Mon Jun 03 14:27:58 EDT 2024","Mon Jun 03 14:28:20 EDT 2024","21730","Suite1","Chrome","org.selenium.pom.tests.CheckoutTest","org.selenium.pom.tests.CheckoutTest","loginAndCheckoutUsingDirectBankTransfer","loginAndCheckoutUsingDirectBankTransfer",""
"passed","Mon Jun 03 14:28:00 EDT 2024","Mon Jun 03 14:28:11 EDT 2024","10460","Suite1","Chrome","org.selenium.pom.tests.AddToCartTest","org.selenium.pom.tests.AddToCartTest","addToCardFeaturedProducts","addToCardFeaturedProducts",""
"passed","Mon Jun 03 14:27:58 EDT 2024","Mon Jun 03 14:28:04 EDT 2024","6129","Suite1","Chrome","org.selenium.pom.tests.AddToCartTest","org.selenium.pom.tests.AddToCartTest","addToCartFromStorePage","addToCartFromStorePage",""
"passed","Mon Jun 03 14:28:04 EDT 2024","Mon Jun 03 14:28:11 EDT 2024","6366","Suite1","Chrome","org.selenium.pom.tests.AddToCartTest","org.selenium.pom.tests.AddToCartTest","addToCardFeaturedProducts","addToCardFeaturedProducts",""
"passed","Mon Jun 03 14:27:59 EDT 2024","Mon Jun 03 14:28:10 EDT 2024","11157","Suite1","Chrome","org.selenium.pom.tests.CheckoutTest","org.selenium.pom.tests.CheckoutTest","guestCheckoutUsingDirectBankTransfer","guestCheckoutUsingDirectBankTransfer",""
"passed","Mon Jun 03 14:28:11 EDT 2024","Mon Jun 03 14:28:23 EDT 2024","12034","Suite1","Chrome","org.selenium.pom.tests.AddToCartTest","org.selenium.pom.tests.AddToCartTest","addToCardFeaturedProducts","addToCardFeaturedProducts",""
